k-means,lwea,monti,monti_fixed
[  4.05471600e-01   1.12429648e+03   4.03110140e-04   1.60606236e-01],[  2.42282168e-01   6.79685213e+02   2.53076106e-04   1.99735930e-01],[  3.59191540e-01   7.23428205e+02   2.89519092e-04   3.50002448e-01],[  4.05494552e-01   1.12406214e+03   2.68997286e-04   1.61254550e-01]
[  4.03776654e-01   1.22993833e+03   1.94771378e-04   1.72523682e-01],[  1.98411183e-02   2.44384017e+02   1.19519379e-04   3.34681631e-01],[  3.66185585e-01   8.10028264e+02   3.73335928e-04   3.69163643e-01],[  4.03781612e-01   1.22969151e+03   2.45415646e-04   1.73469130e-01]
[  4.04456105e-01   1.04379932e+03   3.80244592e-04   1.43834308e-01],[  1.59966687e-01   3.91645313e+02   1.49802438e-04   1.83707170e-01],[  3.60896043e-01   6.69837361e+02   3.74621024e-04   3.06371527e-01],[  4.05121115e-01   1.04346505e+03   2.60434113e-04   1.43686719e-01]
[  3.99936295e-01   1.05115936e+03   4.39993158e-04   1.50159524e-01],[  1.03528576e-01   3.61927164e+02   1.24672650e-04   2.16258980e-01],[  3.63828188e-01   6.98009653e+02   5.72857723e-04   3.24641561e-01],[  3.99317745e-01   1.04758348e+03   2.22889127e-04   1.52824775e-01]
[  4.49423656e-01   2.42354054e+02   4.75059801e-03   4.72532465e-02],[  2.23581727e-01   1.23643568e+02   1.73520526e-03   3.83114235e-01],[  4.48999775e-01   2.36540765e+02   3.06299374e-03   6.32645803e-01],[  1.32736335e-01   1.23305839e+02   1.39248880e-03   4.85910742e-01]
[  4.08830091e-01   1.22837653e+03   2.39379225e-04   1.72416609e-01],[  1.31879505e-01   4.39018421e+02   1.56577102e-04   2.32695781e-01],[  3.63827621e-01   7.77284255e+02   3.82157987e-04   3.77741621e-01],[  4.08086314e-01   1.22082557e+03   2.33271816e-04   1.70494187e-01]
[  4.71933732e-01   3.75804961e+02   5.08727147e-02   1.13487578e+00],[  2.59497761e-01   1.74303979e+02   8.00462167e-02   2.22933163e+00],[  5.21184873e-01   3.51074462e+02   1.86313403e-01   2.56006818e+00],[  4.71933732e-01   3.75804961e+02   5.08727147e-02   1.13487578e+00]
[  7.03967371e-01   1.92359197e+02   4.28822037e-03   5.61303203e-01],[  2.88635838e-01   8.50906315e+01   2.53648782e-03   3.83155389e-01],[  7.03967371e-01   1.92359197e+02   4.28822037e-03   5.61303203e-01],[  7.03967371e-01   1.92359197e+02   4.28822037e-03   5.61303203e-01]
[  3.89068901e-01   1.56364728e+03   2.62918775e-04   2.22802577e-01],[  8.77964051e-02   3.75546140e+02   1.44764736e-04   2.83708797e-01],[  3.65907117e-01   1.04527954e+03   6.40453933e-04   4.65258025e-01],[  3.89049216e-01   1.56363217e+03   2.86889264e-04   2.23914216e-01]
[  3.91551037e-01   1.46934240e+03   1.99705124e-04   2.07105642e-01],[  1.83036989e-01   5.60531644e+02   1.39643354e-04   2.56738825e-01],[  3.66432895e-01   9.77690903e+02   5.42140657e-04   4.34812164e-01],[  3.91337619e-01   1.46919795e+03   1.59218055e-04   2.07470869e-01]
[  5.52591945e-01   5.60399924e+02   3.14905604e-01   1.44248942e+00],[  2.84593950e-01   2.53306081e+02   8.63490894e-02   2.45500325e+00],[  6.80813620e-01   5.13303843e+02   1.75897076e-01   3.93634039e+00],[  5.52591945e-01   5.60399924e+02   3.14905604e-01   1.44248942e+00]
[  3.89233448e-01   1.45043353e+03   2.36415908e-04   2.10153724e-01],[  1.16441019e-01   4.31927957e+02   1.34272825e-04   2.52307900e-01],[  3.68778766e-01   9.86416938e+02   2.16921537e-04   4.35935084e-01],[  3.89055920e-01   1.45294854e+03   2.76910732e-04   2.07909034e-01]
[  4.48430105e-01   3.12039667e+03   7.61918866e-03   4.10609868e-01],[ -2.84862284e-02   3.07536254e+02   2.22731133e-03   2.71001461e+00],[  6.03541027e-01   2.82068442e+03   4.19116852e-03   6.76365649e+00],[  2.70516166e-01   2.52103813e+03   2.54266726e-03   2.37831084e+00]
[  4.71933732e-01   3.75804961e+02   5.08727147e-02   1.13487578e+00],[  2.19086797e-01   1.52789416e+02   8.89208984e-02   2.78842971e+00],[  5.20308294e-01   3.50908022e+02   1.81647455e-01   2.48514100e+00],[  4.71933732e-01   3.75804961e+02   5.08727147e-02   1.13487578e+00]
[  4.48899584e-01   1.24027576e+02   9.40269699e-02   1.18820494e-01],[  1.40725898e-01   6.05540408e+01   5.71059503e-02   2.19231651e-01],[  5.60527088e-01   1.35275086e+02   8.35557133e-02   1.39863992e+00],[  1.01506852e-01   5.68066518e+01   1.13235887e-02   3.83833883e-01]
[   0.24999603  147.32584692    0.30934359   68.79536551],[  6.86381757e-02   7.32508604e+01   1.83842131e-01   4.86815896e+01],[   0.40489552  235.36153186    0.50867414  344.9943979 ],[   0.2287338   139.79646186    0.28964034   81.38121134]
[  1.42599407e-01   1.53164262e+01   5.14094694e-03   9.96572347e-02],[  1.31241139e-01   1.43707509e+01   4.96857379e-03   1.03824192e-01],[  1.31860440e-01   1.72082098e+01   7.57395608e-03   2.57936102e-01],[  1.43587996e-01   1.53068838e+01   4.55124710e-03   1.06456575e-01]
[  1.78883271e-01   2.80721413e+02   1.62531529e-01   3.45135689e+02],[ -1.70298714e-01   7.02314374e+01   7.88375733e-02   5.42964735e+02],[  2.63036435e-01   4.27542815e+02   2.14494198e-01   2.10094508e+03],[  1.04509160e-01   2.11688795e+02   6.78803914e-02   4.52122456e+02]
[  1.94541020e-01   1.66487881e+02   1.61846199e-01   1.39523627e+01],[ -0.17130948  53.20568636   0.0898207    4.58425277],[  2.06347925e-01   3.06737510e+02   2.45276531e-01   8.46653201e+01],[  1.90984069e-01   1.63877712e+02   1.42056583e-01   1.40690414e+01]
[  4.00521434e-01   2.39925458e+02   1.29958886e-02   1.06994085e+00],[  2.04661018e-01   9.02102291e+01   1.30429325e-02   3.23268182e+00],[  4.00343927e-01   2.39514723e+02   1.35139182e-02   1.15358888e+00],[  4.00938183e-01   2.39766161e+02   1.31375664e-02   1.15216396e+00]
